6659da9a6c7684b7240fe291,2mbc (2-methylbutyrylcarnitine)
6659da9a6c7684b7240fe292,2oh ga (2-OH glutaric acid)
6659da9a6c7684b7240fe294,3oh ga (3-OH glutaric acid)
6659da9a6c7684b7240fe296,3oh pa (3-OH propionic acid)
6659da9a6c7684b7240fe297,ado (adenosine)
6659da9a6c7684b7240fe29b,ala (alanine)
6659da9a6c7684b7240fe29c,allele 1
6659da9a6c7684b7240fe32d,allele 2
6659da9a6c7684b7240fe311,antibioticsbaby (Child taking antibiotics)
6659da9a6c7684b7240fe313,antibioticsmother (Mother taking antibiotics)
6659da9a6c7684b7240fe29e,arg (arginine)
6659da9a6c7684b7240fe322,artfeed (Artificial nutrition)
6659da9a6c7684b7240fe299,asatotal (argininosuccinic acid)
6659da9a6c7684b7240fe31d,babyfed (Baby fed)
6659da9a6c7684b7240fe32c,birthmethod (Birth method)
6659da9a6c7684b7240fe2a0,btd (human biotinidase activity)
6659da9a6c7684b7240fe2a1,c0 (free carnitine)
6659da9a6c7684b7240fe2a3,c10 (decanoylcarnitine)
6659da9a6c7684b7240fe2a5,c10:1 (decenoylcarnitine)
6659da9a6c7684b7240fe2a6,c10:2 (decayenoylcarnitine)
6659da9a6c7684b7240fe2a8,c12 (dodecanoylcarnitine)
6659da9a6c7684b7240fe2aa,c12:1 (dodecenoylcarnitine)
6659da9a6c7684b7240fe2ab,c14 (tetradecanoylcarnitine (myristoylcarnitine))
6659da9a6c7684b7240fe2ad,c14-oh (3-hydroxy-tetradecanoylcarnitine)
6659da9a6c7684b7240fe2af,c14:1 (tetradecenoylcarnitine)
6659da9a6c7684b7240fe2b0,c14:2 (tetradecadienoylcarnitine)
6659da9a6c7684b7240fe2b2,c16 (hexadecanoylcarnitine)
6659da9a6c7684b7240fe2b4,c16-oh (3-hydroxy-hexadecanoylcarnitine)
6659da9a6c7684b7240fe2b5,c16:1 (hexadecenoylcarnitine)
6659da9a6c7684b7240fe2b7,c16:1-oh (3-hydroxy-hexadecenoylcarnitine)
6659da9a6c7684b7240fe2b9,c18 (octadecanoylcarnitine (stearoylcarnitine))
6659da9a6c7684b7240fe2ba,c18-oh (3-hydroxy-octadecanoylcarnitine)
6659da9a6c7684b7240fe2bc,c18:1 (octadecenoylcarnitine (oleylcarnitine))
6659da9a6c7684b7240fe2be,c18:1-oh (3-hydroxy-octacedecenoylcarnitine)
6659da9a6c7684b7240fe2bf,c18:2 (octadecadienoylcarnitine (linoleylcarnitine))
6659da9a6c7684b7240fe2c1,c18:2oh (3-hydroxy-octadecadienoylcarnitine)
6659da9a6c7684b7240fe2c3,c2 (acetylcarnitine)
6659da9a6c7684b7240fe2c4,c20 (eicosanoylcarnitine (peanutylcarnitine))
6659da9a6c7684b7240fe2c6,c20:0-lpc (C20:0 lysophosphatidylcholine)
